|topic_0|topic_1|topic_2|topic_3|topic_4|topic_5|topic_6|topic_7|topic_8|topic_9|topic_10|topic_11|topic_12|topic_13|topic_14|topic_15|topic_16|topic_17|topic_18|topic_19|topic_20|topic_21|topic_22|topic_23|topic_24|topic_25|topic_26|topic_27|topic_28|topic_29|topic_30|topic_31|topic_32|topic_33|topic_34|topic_35|topic_36|topic_37|topic_38|topic_39|topic_40|topic_41|topic_42|topic_43|topic_44|topic_45|topic_46|
doc_47  |      X|       |      X|       |      X|       |       |       |       |      X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |        |        |       X|        |        |
doc_48  |      X|      X|      X|       |       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_49  |       |       |       |      X|       |       |      X|      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |
doc_50  |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_51  |       |       |      X|       |       |      X|       |       |      X|      X|        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_52  |       |       |      X|       |       |       |       |      X|       |       |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_53  |      X|       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_54  |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |       X|       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_55  |       |       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |
doc_56  |       |       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_57  |      X|       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_58  |       |       |      X|       |       |       |       |      X|      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |
doc_59  |      X|       |      X|       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |       X|        |       X|        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_60  |       |       |       |       |       |      X|       |       |       |      X|        |       X|        |        |        |        |        |       X|       X|        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_61  |       |       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |       X|        |        |        |       X|        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_62  |      X|       |       |       |       |       |       |       |       |       |        |        |        |        |        |        |        |       X|        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |
doc_63  |       |       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|       X|        |        |        |        |        |
doc_64  |       |       |      X|       |       |      X|       |       |      X|      X|        |       X|        |        |        |        |        |       X|       X|        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_65  |       |       |       |       |       |      X|       |       |      X|      X|        |       X|        |       X|        |        |        |       X|        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_66  |       |       |       |       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_67  |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_68  |      X|       |      X|       |      X|       |       |       |       |      X|        |        |        |        |        |        |        |       X|        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_69  |       |       |       |      X|      X|       |       |      X|       |       |        |        |        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|        |        |        |        |       X|        |        |        |
doc_70  |       |       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|       X|        |        |        |        |        |
doc_71  |       |       |       |       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |       X|        |        |        |        |       X|       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_72  |      X|       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_73  |      X|       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_74  |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_75  |      X|       |       |       |       |       |       |       |      X|       |        |       X|        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_76  |       |       |       |       |       |       |       |       |      X|       |        |       X|        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_77  |       |       |       |       |       |       |       |       |      X|      X|        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_78  |       |       |       |       |       |       |       |       |       |      X|        |       X|        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_79  |      X|       |      X|       |       |       |       |       |      X|       |        |       X|       X|        |        |        |       X|        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_80  |      X|       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_81  |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_82  |      X|       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_83  |      X|       |       |       |       |       |       |       |       |      X|        |       X|        |        |        |        |       X|       X|        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_84  |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_85  |       |       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |
doc_86  |      X|       |      X|       |       |       |       |       |      X|       |        |        |        |        |        |        |        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |
doc_87  |      X|       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_88  |       |       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |       X|        |        |        |
doc_89  |       |       |       |       |      X|       |       |       |       |       |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |
doc_90  |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |        |        |        |        |        |        |       X|       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_91  |      X|       |      X|       |       |       |       |       |       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_92  |      X|       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_93  |      X|       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |       X|        |        |        |
doc_94  |      X|       |      X|       |       |       |       |       |       |       |        |        |       X|        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_95  |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |        |       X|        |        |        |        |       X|       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_96  |      X|       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |        |        |       X|        |        |
doc_97  |       |       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_98  |      X|       |       |       |       |      X|       |       |       |      X|        |       X|        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |
doc_99  |       |       |       |       |       |       |       |       |      X|       |        |       X|        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_100 |      X|       |      X|       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |       X|        |        |        |        |       X|       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_101 |      X|       |       |       |       |       |       |       |      X|       |        |       X|        |        |        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_102 |      X|      X|       |       |      X|       |       |      X|       |       |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_103 |       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_104 |      X|       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_105 |       |       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
