|topic_0|topic_1|topic_2|topic_3|topic_4|topic_5|topic_6|topic_7|topic_8|topic_9|topic_10|topic_11|topic_12|topic_13|topic_14|topic_15|topic_16|topic_17|topic_18|topic_19|topic_20|topic_21|topic_22|topic_23|topic_24|topic_25|topic_26|topic_27|topic_28|topic_29|topic_30|topic_31|topic_32|topic_33|topic_34|topic_35|topic_36|topic_37|topic_38|topic_39|topic_40|topic_41|topic_42|topic_43|topic_44|topic_45|topic_46|
doc_1427|      X|      X|       |       |       |       |       |       |       |      X|        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1428|       |       |       |       |       |       |       |       |      X|      X|        |       X|        |        |        |        |       X|       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1429|      X|       |      X|       |      X|       |       |       |       |       |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |
doc_1430|       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1431|       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1432|       |       |       |       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1433|      X|       |      X|       |       |       |       |       |      X|      X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1434|      X|       |       |       |       |       |       |       |      X|      X|        |       X|        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1435|      X|      X|       |       |       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1436|      X|      X|       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1437|       |       |       |       |      X|       |       |       |       |       |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |
doc_1438|      X|       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |
doc_1439|       |       |       |       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |       X|        |        |        |        |       X|       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1440|       |       |       |       |       |      X|       |       |      X|      X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1441|      X|      X|       |       |       |       |       |       |       |      X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1442|      X|       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_1443|       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1444|       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |
doc_1445|       |      X|       |       |      X|       |       |      X|       |      X|        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1446|      X|       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |
doc_1447|       |       |       |       |       |       |       |       |       |      X|        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1448|       |       |      X|       |       |       |       |       |      X|      X|        |       X|        |       X|        |        |        |       X|        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1449|      X|       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |
doc_1450|      X|       |      X|       |       |       |       |       |       |      X|        |       X|        |        |        |        |        |       X|       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1451|       |       |      X|       |      X|       |       |      X|       |      X|        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |
doc_1452|       |       |       |       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |
doc_1453|      X|       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |
doc_1454|      X|      X|       |       |      X|       |       |       |      X|       |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1455|       |       |       |       |       |       |       |       |       |      X|        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |
doc_1456|      X|      X|       |       |       |       |       |       |       |      X|        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1457|      X|       |      X|       |       |       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_1458|      X|      X|       |       |       |       |       |       |       |       |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1459|       |       |       |      X|       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |       X|       X|
doc_1460|      X|      X|       |       |       |       |       |       |       |      X|        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1461|      X|      X|       |       |       |       |       |       |       |      X|        |       X|        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1462|       |       |       |       |       |      X|       |       |      X|      X|        |       X|        |        |        |        |       X|       X|        |       X|        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1463|      X|       |      X|       |       |       |       |       |       |      X|        |       X|        |       X|        |        |        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1464|      X|      X|      X|       |       |       |       |       |       |      X|        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1465|      X|       |      X|       |       |       |       |      X|       |      X|        |        |       X|        |        |        |       X|        |       X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |
doc_1466|      X|      X|      X|       |       |       |       |       |       |      X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1467|      X|       |      X|       |       |       |       |       |       |      X|        |       X|        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |
doc_1468|      X|       |      X|       |      X|       |       |      X|       |       |        |       X|        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |
doc_1469|      X|       |      X|       |       |       |       |      X|       |       |        |       X|        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_1470|      X|       |      X|       |       |       |       |       |       |      X|        |       X|        |        |        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1471|       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1472|      X|      X|       |       |       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1473|      X|       |      X|       |      X|      X|       |       |      X|      X|        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1474|      X|       |      X|       |       |       |       |       |      X|      X|        |       X|        |        |        |        |       X|       X|        |       X|        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1475|       |       |       |       |       |      X|       |       |      X|       |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1476|      X|      X|      X|       |       |       |       |       |      X|      X|        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1477|      X|       |      X|       |       |       |       |       |       |      X|        |        |       X|        |        |        |       X|        |       X|        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_1478|       |       |      X|       |       |       |       |       |       |      X|        |       X|        |       X|        |        |       X|        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1479|       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1480|      X|       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_1481|      X|       |      X|       |       |       |       |       |       |       |        |        |       X|        |        |        |        |       X|        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |
doc_1482|       |       |       |       |       |       |       |       |       |       |        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1483|       |       |       |      X|      X|       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|        |
doc_1484|      X|       |       |       |       |       |       |       |      X|       |        |       X|        |        |        |        |        |       X|        |        |        |        |        |       X|        |       X|       X|        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1485|      X|       |       |       |       |       |       |       |      X|       |        |       X|        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |       X|        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1486|       |       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_1487|       |       |      X|       |      X|       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |
doc_1488|      X|      X|       |       |       |       |       |       |       |       |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1489|       |       |       |       |       |      X|       |       |      X|      X|        |       X|        |       X|        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1490|       |       |      X|       |       |      X|       |      X|      X|       |        |        |       X|        |        |        |        |       X|        |        |        |        |        |       X|        |        |       X|        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |
doc_1491|       |       |      X|       |       |       |       |       |       |      X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |
doc_1492|       |       |       |       |       |       |       |       |       |      X|        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1493|       |       |       |       |       |       |       |       |       |       |        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1494|       |       |       |       |       |       |       |       |       |      X|        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1495|      X|       |      X|       |       |       |       |       |       |      X|        |       X|        |       X|        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |       X|        |        |        |        |        |        |        |        |        |        |        |        |
doc_1496|       |       |       |       |       |       |       |       |      X|      X|        |       X|        |       X|        |        |       X|       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |
doc_1497|      X|       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |
doc_1498|      X|       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_1499|       |       |       |       |       |      X|       |       |      X|       |        |       X|        |       X|        |        |        |       X|        |        |        |        |        |       X|        |       X|        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1500|      X|       |      X|       |      X|       |       |       |       |      X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |       X|        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |
doc_1501|      X|      X|      X|       |       |       |       |       |       |      X|        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1502|       |       |       |      X|      X|       |       |      X|       |       |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |
doc_1503|       |       |       |       |       |       |       |       |       |      X|        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1504|       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1505|       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1506|       |       |       |       |       |       |       |       |       |       |        |        |        |       X|        |        |       X|        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1507|      X|      X|      X|       |       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1508|       |       |      X|       |       |       |       |       |      X|      X|        |       X|        |       X|        |        |       X|        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1509|       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1510|      X|      X|      X|       |       |       |       |       |       |      X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1511|       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1512|      X|       |      X|       |       |       |       |       |       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_1513|      X|      X|       |       |       |       |       |       |       |      X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1514|       |       |      X|       |      X|       |       |       |       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_1515|       |       |       |       |       |      X|       |       |      X|      X|        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1516|      X|       |      X|       |       |       |       |       |       |       |        |       X|       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_1517|      X|       |      X|       |      X|       |       |       |       |       |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |       X|        |        |        |
doc_1518|       |       |       |       |       |      X|       |       |      X|      X|        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1519|       |       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |
doc_1520|      X|       |       |       |       |       |       |       |      X|      X|        |       X|        |        |        |        |       X|       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1521|       |       |       |       |       |       |       |       |       |       |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |
doc_1522|      X|       |      X|       |       |       |       |       |       |       |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|        |        |        |        |        |        |
doc_1523|      X|      X|      X|       |       |       |       |       |      X|      X|        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1524|       |       |       |       |       |       |       |       |       |       |       X|        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |
doc_1525|       |       |      X|       |       |       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |       X|       X|        |        |        |        |        |
doc_1526|       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1527|      X|       |      X|       |      X|       |       |      X|       |       |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |
doc_1528|       |       |       |      X|       |       |       |       |       |       |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |       X|        |        |        |        |        |       X|        |        |       X|       X|
doc_1529|      X|       |      X|       |      X|      X|       |       |       |      X|        |       X|        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |       X|        |        |        |        |        |        |        |
doc_1530|       |       |       |       |       |       |       |       |       |      X|        |       X|        |       X|        |        |       X|       X|       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1531|       |       |      X|       |       |       |       |       |       |       |        |        |        |       X|        |        |        |        |       X|        |        |        |        |        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1532|       |       |       |       |       |      X|       |       |      X|       |        |        |        |        |        |        |       X|        |        |        |        |        |        |       X|        |       X|       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |        |
doc_1533|       |       |      X|       |       |       |       |       |       |      X|        |        |        |       X|        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |       X|        |        |        |       X|        |        |        |        |        |        |        |        |        |        |        |        |        |        |
